mintel_index,mintel_company,ultimate_company,compustat_conm,cosine_score,entityOne,entityTwo,Answer,Explanation
0,Johnson & Johnson,Johnson & Johnson,JOHNSON & JOHNSON,0.8035067996662113,Johnson & Johnson | Johnson & Johnson,JOHNSON & JOHNSON,Yes,"Both entities refer to the same company, differing only in capitalization."
1,General Mills,General Mills,GENERAL MILLS INC,0.7678372385673595,General Mills | General Mills,GENERAL MILLS INC,Yes,"General Mills and GENERAL MILLS INC refer to the same corporation, with the latter being its official registered name, typically indicating the legal entity."
2,Pillsbury,General Mills,GENERAL MILLS INC,0.6543732052177158,Pillsbury | General Mills,GENERAL MILLS INC,Yes,"Pillsbury is a brand owned by General Mills, and General Mills Inc. refers to the same company."
3,Procter & Gamble,Procter & Gamble,PROCTER & GAMBLE CO,0.7914334722471131,Procter & Gamble | Procter & Gamble,PROCTER & GAMBLE CO,Yes,"Both names refer to the same parent company, Procter & Gamble (P&G), recognized with slight variations in naming."
4,Pepperidge Farm,Campbell Soup,CAMPBELL SOUP CO,0.6453130765828042,Pepperidge Farm | Campbell Soup,CAMPBELL SOUP CO,Yes,"Pepperidge Farm is a brand owned by Campbell Soup Company, making them related entities."
5,Beatrice,ConAgra Foods,CONAGRA BRANDS INC,0.5947829238009346,Beatrice | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Foods, which was formerly known as ConAgra, rebranded to Conagra Brands Inc. This indicates a direct relationship, as they refer to the same company."
6,Gardetto's,Gardetto's,MONDELEZ INTERNATIONAL INC,0.3700744950962902,Gardetto's | Gardetto's,MONDELEZ INTERNATIONAL INC,Yes,"Gardetto's is owned by General Mills, not Mondelez International. However, there seems to be an error in identifying Gardetto's original owner within the context given. This doesn't mean there is a direct relationship between Mondelez and Gardetto's."
7,Drypers,Drypers,KIMBERLY-CLARK CORP,0.3888900473991109,Drypers | Drypers,KIMBERLY-CLARK CORP,Yes,"Drypers is a brand that was acquired by Kimberly-Clark, meaning they are related through brand ownership."
8,Kimberly-Clark,Kimberly-Clark,KIMBERLY-CLARK CORP,0.8054183643721232,Kimberly-Clark | Kimberly-Clark,KIMBERLY-CLARK CORP,Yes,KIMBERLY-CLARK CORP is the full legal name of the company commonly referred to as Kimberly-Clark. They refer to the same corporation.
9,Aveda,Este Lauder,ESTEE LAUDER COMPANIES INC,0.6263746971069069,Aveda | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Aveda is a brand owned by the Estee Lauder Companies Inc., making them part of the same corporate structure."
